mu10sigma25rf0,mu10sigma25rf2,mu10sigma25rf3,mu10sigma25rf4,mu10sigma15rf0,mu10sigma15rf2,mu10sigma15rf3,mu10sigma15rf4,mu13sigma25rf0,mu15sigma25rf2,mu15sigma25rf3,mu15sigma25rf4,mu13sigma15rf0,mu13sigma15rf2,mu13sigma15rf3,mu13sigma15rf4
43.69148243,34.95318594,30.5840377,26.21488946,121.365229,97.09218317,84.95566028,72.81913738,56.79892716,48.06063067,43.69148243,39.32233418,157.7747977,133.5017519,121.365229,109.2287061
44.27403614,35.41922891,30.9918253,26.56442168,122.9834337,98.38674698,86.0884036,73.79006023,57.55624698,48.70143975,44.27403614,39.84663253,159.8784638,135.2817771,122.9834337,110.6850903
44.85658928,35.88527142,31.3996125,26.91395357,124.6016369,99.68130951,87.22114582,74.76098213,58.31356606,49.34224821,44.85658928,40.37093035,161.982128,137.0618006,124.6016369,112.1414732
45.43914262,36.35131409,31.80739983,27.26348557,126.2198406,100.9758725,88.35388842,75.73190436,59.0708854,49.98305688,45.43914262,40.89522836,164.0857928,138.8418247,126.2198406,113.5978565
46.02169486,36.81735589,32.2151864,27.61301691,127.8380413,102.270433,89.48662889,76.70282476,59.82820331,50.62386434,46.02169486,41.41952537,166.1894537,140.6218454,127.8380413,115.0542371
46.60424843,37.28339875,32.6229739,27.96254906,129.4562456,103.5649965,90.61937195,77.67374739,60.58552296,51.26467327,46.60424843,41.94382359,168.2931193,142.4018702,129.4562456,116.5106211
47.18680107,37.74944086,33.03076075,28.31208064,131.0744474,104.8595579,91.7521132,78.64466846,61.3428414,51.90548118,47.18680107,42.46812097,170.3967817,144.1818922,131.0744474,117.9670027
47.76935475,38.2154838,33.43854832,28.66161285,132.6926521,106.1541217,92.88485645,79.61559124,62.10016117,52.54629022,47.76935475,42.99241927,172.5004477,145.9619173,132.6926521,119.4233869
48.35190711,38.68152569,33.84633498,29.01114427,134.3108531,107.4486825,94.01759717,80.58651186,62.85747925,53.18709783,48.35190711,43.5167164,174.604109,147.7419384,134.3108531,120.8797678
48.93446128,39.14756902,34.2541229,29.36067677,135.9290591,108.7432473,95.15034138,81.55743547,63.61479967,53.82790741,48.93446128,44.04101515,176.7077768,149.521965,135.9290591,122.3361532
49.51701414,39.61361131,34.6619099,29.71020848,137.5472615,110.0378092,96.28308305,82.5283569,64.37211838,54.46871555,49.51701414,44.56531273,178.8114399,151.3019876,137.5472615,123.7925353
50.09956663,40.0796533,35.06969664,30.05973998,139.1654629,111.3323703,97.415824,83.49927771,65.12943661,55.10952329,50.09956663,45.08960996,180.9151017,153.0820091,139.1654629,125.2489166
50.68211956,40.54569565,35.47748369,30.40927174,140.7836654,112.6269324,98.54856581,84.47019927,65.88675543,55.75033152,50.68211956,45.6139076,183.0187651,154.862032,140.7836654,126.7052989
51.26467387,41.0117391,35.88527171,30.75880432,142.4018719,113.9214975,99.68131031,85.44112312,66.64407603,56.39114126,51.26467387,46.13820648,185.1224334,156.6420591,142.4018719,128.1616847
51.84722593,41.47778074,36.29305815,31.10833556,144.020072,115.2160576,100.8140504,86.41204321,67.40139371,57.03194852,51.84722593,46.66250333,187.2260936,158.4220792,144.020072,129.6180648
52.42977949,41.94382359,36.70084564,31.45786769,145.6382763,116.5106211,101.9467934,87.38296581,68.15871333,57.67275743,52.42977949,47.18680154,189.3297593,160.202104,145.6382763,131.0744487
53.01233305,42.40986644,37.10863314,31.80739983,147.2564807,117.8051846,103.0795365,88.35388842,68.91603297,58.31356636,53.01233305,47.71109975,191.4334249,161.9821288,147.2564807,132.5308326
53.59488531,42.87590824,37.51641971,32.15693118,148.8746814,119.0997451,104.212277,89.32480884,69.6733509,58.95437384,53.59488531,48.23539678,193.5370858,163.7621495,148.8746814,133.9872133
54.17743951,43.34195161,37.92420766,32.50646371,150.4928875,120.39431,105.3450213,90.29573252,70.43067137,59.59518346,54.17743951,48.75969556,195.6407538,165.5421763,150.4928875,135.4435988
54.75999175,43.8079934,38.33199422,32.85599505,152.1110882,121.6888706,106.4777617,91.26665291,71.18798927,60.23599092,54.75999175,49.28399257,197.7444146,167.322197,152.1110882,136.8999794
